XxL	143	17
Mxs	3	1
RxS	7	1
llMxc	1	1
Rcl	15	2
MLd	1	1
xLxr	4	3
xSm	57	5
SCc	1	1
Lxd	2	2
XlLr	7	4
Lcc	2	1
MXx	2	1
Mrr	72	2
CxXl	2	1
LxD	2	1
xCxl	1	1
XS	43	11
CxLr	3	2
cLr	1	1
xLl	48	7
XxXxc	13	1
Mdl	4	1
LxLx	5	3
lSmLm	1	1
rMc	1	1
XxLl	30	3
Xm	2804	130
MlXr	1	1
rXc	2	1
Cr	245	26
LlXc	4	2
sXlr	1	1
Xrt	2	2
MlLXc	2	1
Slc	1	1
CrL	48	1
Tr	1	1
Rm	124	13
xRm	4	3
CC	137	33
RR	609	1
XxR	10	2
Xd	2015	121
LxXc	6	2
Lxs	35	8
Lls	1	1
SXc	35	5
CrS	10	4
LLxl	1	1
Xrl	40	12
cCd	2	2
Xcc	8	2
LL	5146	36
Mdc	1	1
Sxxl	2	1
XcL	1	1
MxMx	2	1
lSxM	4	1
CrLr	3	1
LxXx	1	1
SLd	1	1
lXxr	1	1
xXt	3	2
Scr	1	1
XlLs	1	1
rXm	1	1
MLr	1	1
Mxt	8	3
Xrc	30	6
TLr	3	2
mXx	41	2
Mlc	2	2
Mrl	6	2
XxLlm	4	1
Xll	34	3
Smc	20	2
Cd	87	12
xXll	5	1
SLLl	1	1
xXls	13	2
mLlr	1	1
XcLm	1	1
RXs	1	1
CXm	5	3
Srl	2	1
lXl	15	1
cL	19	5
RC	53	2
Rs	25	6
LllS	3	1
mSxS	1	1
Mlx	1	1
MxCc	20	1
TS	8	5
Mtc	1	1
xLc	64	6
XrXl	1	1
rXmm	1	1
McMc	1	1
LrD	1	1
CXl	5	2
cC	70	16
xLlS	3	2
Mxr	2	2
mSl	8	2
SmLm	4	1
CXc	6	3
Xcs	1	1
XxM	1	1
Lrm	23	5
Rc	51	12
Xl	11930	242
CLr	2	1
rXS	1	1
xcXr	1	1
MlXmc	1	1
LlLl	35	5
Lxr	107	11
CXx	2	2
Lc	1404	123
cT	52	8
MrS	66	11
mLd	3	1
rLxl	1	1
rXxS	1	1
Mr	843	57
Llcl	3	1
xXc	71	12
MxL	1	1
xXd	10	5
SxD	2	1
XxXs	2	2
MTr	1	1
XLr	3	1
SC	123	22
MS	158	20
Mlr	12	3
Cxd	25	1
xMc	2	2
LrC	2	1
CrT	1	1
rL	1	1
RS	18	3
XxS	123	23
MxCm	14	1
XcMd	1	1
LLl	7	4
DLr	1	1
xS	2731	127
xMl	2	2
rSc	1	1
SxL	29	3
Xcl	2	2
Xrm	63	20
LlL	39	7
xXxLr	58	2
MxXxr	1	1
LcS	3	1
CSr	12	1
mSr	1	1
xXtl	1	1
Xxd	200	5
MrXL	1	1
DT	6	2
rXmr	1	1
Rr	294	9
Llt	1	1
MmLr	1	1
lXc	1	1
xLml	1	1
Xlx	5	2
SxR	4	1
cCm	2	2
XxLx	16	8
CD	20	5
Mxl	72	12
cSl	3	1
xXx	188	5
Clcl	2	1
XxRxl	3	1
Sxd	6	3
xCS	1	1
Sxm	1	1
LC	124	20
RxXxl	3	1
XmCc	1	1
LdLd	1	1
lLx	78	4
SxSc	2	2
xRxLc	1	1
MrD	4	2
cLxt	2	1
Xrr	7	4
MrT	50	3
LMr	9	3
cXlx	1	1
xXrr	1	1
LlC	10	5
LrLd	2	2
xlC	65	1
Ts	8	3
mLxr	1	1
mmL	2	1
CT	12	6
TXs	2	1
Lr	4673	174
lXxS	1	1
rXxr	5	1
XlS	359	17
xCxR	2	1
CM	13	4
Sm	935	37
xLd	1	1
Xct	1	1
sS	493	2
TM	1	1
SxC	8	2
XrC	2	1
xCxS	1	1
LMxl	1	1
XM	8	1
LxxS	7	1
LXc	3	2
xLr	11	9
Sxt	2	2
LrL	12	4
xLlr	1	1
MxS	12	7
mXxLc	1	1
Cxm	5	4
xXlc	1	1
xL	938	18
mXm	2	2
CxS	7	4
XrLt	2	1
xlS	81	1
Xxr	94	14
cLl	34	2
XlC	37	5
Xdc	1	1
XmS	1	1
MxxXr	1	1
LxLm	1	1
CxMxl	1	1
xSd	1	1
xCr	10	9
LlLc	15	4
ClS	6	1
mXrLl	1	1
CS	488	49
XrXd	2	2
LrLm	1	1
Mrd	1	1
mD	1	1
CXr	51	7
xLxs	2	2
xXm	45	6
Xrs	128	6
LLc	103	4
Xmm	1	1
cLm	21	2
Lcl	6	1
Crc	1	1
ClD	2	1
Tt	21	1
XxXr	10	4
XxMxm	1	1
CLd	1	1
CxTl	1	1
xSl	5	3
SLc	5	5
MXm	1	1
LLLc	2	1
xSlr	3	1
xXxx	2	1
TXl	11	1
LMd	10	3
xR	1	1
Tc	77	3
LXl	28	4
XL	1456	6
LLd	2	1
XrLxl	1	1
sT	250	1
Xlm	27	6
CSm	2	1
MrM	1	1
cCxl	1	1
Sxl	36	6
XxXc	1	1
xLxLr	1	1
MD	11	3
XxX	1	1
xRr	3	3
Cc	774	34
MrXx	16	1
Lrc	99	3
Tcl	1	1
Sl	1188	72
CL	30	3
DL	113	2
Xmc	1	1
xXxm	1	1
sXr	7	1
Rt	6	1
XxLd	3	2
XxD	10	1
lMx	1	1
CrLc	1	1
rD	3	2
LmS	3	2
Rlr	14	3
TL	6	2
Cs	80	11
MxT	1	1
Cx	30	4
SxS	7	2
Lrs	9	1
xcLxl	1	1
Lml	1	1
Mrc	1	1
tS	1	1
cM	87	1
XxXxl	1	1
xC	907	28
cSm	16	2
Xxs	1	1
MXl	103	4
XrLm	1	1
MXc	12	1
LlXrXc	1	1
XrS	80	14
xXr	641	14
LxLr	1	1
xMr	157	9
MlMl	16	1
cMr	1	1
CXs	3	2
Xxx	163	2
mXxc	1	1
TD	25	1
Sxc	6	2
XrL	66	8
MxR	1	1
XcS	6	3
XlT	1	1
rCr	12	1
XLc	7	1
xXxc	9	3
CcS	50	1
rLc	1	1
MxMtl	1	1
Lxl	113	9
Sd	269	21
MT	11	3
XlXs	1	1
MrLm	2	1
XlXl	79	2
MrLr	4	1
MxLLc	1	1
Lll	45	3
xLlcl	1	1
CxLlt	4	1
cCr	4	2
CrC	4	1
LMc	2	2
mT	5	1
Xcr	2	2
xXxt	2	2
xLx	161	14
LlMr	1	1
MrXc	1	1
Xs	731	67
XxCr	9	1
cSc	2	2
cSt	1	1
LrM	5	2
Ccl	1	1
Lxt	11	2
XmD	4	1
XLlt	5	1
XxLc	13	9
SXs	11	3
XxxLc	1	1
MxXc	2	2
cLc	46	5
MxLc	3	1
sXxL	6	1
mXl	9	1
Lt	203	12
Lld	2	2
lLc	1	1
SxSm	1	1
Rxl	8	2
Mrm	16	7
XcXxl	1	1
lC	1	1
MxLr	6	4
LxX	1	1
Mt	24	7
lXlx	1	1
Trr	17	1
DxS	1	1
XxLs	4	1
Mm	441	44
cSxr	1	1
mXxS	1	1
LSxr	4	1
Mc	249	40
Mcl	6	2
xD	24	6
Llx	2	2
Tl	83	7
St	105	7
LxM	1	1
cXd	5	2
Xxcl	21	1
RrC	3	1
MXs	11	5
SxT	2	1
Xlxr	1	1
xMd	9	4
SLs	1	1
xCd	2	2
SXxx	3	1
XT	1	1
XxC	14	5
LlXm	1	1
MmS	1	1
rXr	2	2
mCxLr	1	1
DS	8	4
LxS	282	17
Ll	9125	198
rSr	1	1
Slx	11	1
Xr	6965	196
XrLd	1	1
xXxL	11	4
Sr	781	60
rCc	3	1
xRt	5	2
XLm	3	1
Llm	18	1
CCxR	1	1
XlXr	17	3
cS	591	24
LxC	12	4
xRml	4	1
xSr	17	1
mXxl	2	2
ST	11	5
SLr	18	5
mLm	18	3
LcXr	1	1
MrC	2	2
sXXrL	2	1
mXc	5	4
XX	127	4
xXxl	2	1
Mlm	1	1
rXxc	5	2
mSxcl	3	1
Llc	17	6
xLlc	1	1
SXr	12	5
xLrc	1	1
Mxm	3	2
xX	193	3
LlM	24	1
cLld	3	1
lLrxc	3	2
SrC	1	1
lLrLm	2	1
LXxc	8	1
CSd	1	1
LSd	1	1
LSlr	1	1
LxT	1	1
XC	338	4
xLrm	2	1
cXxl	1	1
SD	2	2
MlR	2	2
mSxc	1	1
TlS	1	1
Mlt	1	1
Tm	6	1
mXrm	2	1
LXx	4	2
mXxr	7	3
SRr	3	1
MxC	6	2
SL	140	26
cXr	19	3
Sc	219	42
CrLx	1	1
XlMr	5	2
Xx	8048	22
xLs	3	1
Xlr	26	11
Lrl	3	1
lL	245	4
XxLr	32	6
rS	28	7
SlC	2	1
LXs	17	1
Lxm	8	6
lT	1	1
MlXd	1	1
xLxl	3	2
LT	39	6
LxSm	6	1
MlM	2	2
MxMt	5	1
Mx	156	12
LxRr	2	1
Xxxr	2	2
CxSm	1	1
Ld	503	89
Cxt	11	3
cCt	2	2
MxM	1	1
Rl	635	21
lSxS	1	1
xXlr	2	1
SxSx	2	1
SxXl	2	1
MrMxr	1	1
XrCc	1	1
Md	94	34
mC	19	7
XrLc	1	1
Xrx	1	1
cLlx	1	1
rLr	53	2
MxLs	1	1
XlRr	1	1
MrSt	2	1
CxXr	1	1
xCt	2	2
SxXr	2	1
cCc	5	3
Rd	30	8
SxLr	1	1
cRr	1	1
lS	8	4
XlLl	1	1
LlXr	2	1
Mxc	6	2
LS	442	56
Xxc	78	20
cLlm	1	1
SlL	1	1
LxLrL	54	1
mLl	5	3
RxM	1	1
Crr	2	1
Lrxc	2	1
Xxl	327	30
CrLm	2	1
Ct	6	2
rXL	2	1
SxLc	1	1
