concerned,P\k@n-'s3nd\[CVC][CVVCC]\[k@n][s3:nd],,,,,cC,CR CRCC,CR CRCC,01,+/d/,CR CRC,V,,,,2,
content,P\'kQn-tEnt\[CVC][CVCC]\[kOn][tEnt],,,,,cC,CVC CVCC,CVC CVCC,10,0,0,N,,,,2,
content,P\k@n-'tEnt\[CVC][CVCC]\[k@n][tEnt],,,,,cC,CR CVMC,CR CVCC,01,0,0,A,,,,1,
contents,P\'kQn-tEnts\[CVC][CVCCC]\[kOn][tEnts],,,,,cC,CVM CVMCC,CVC CVCCC,10,0,CVM CVMC,N,,,,1,
control,P\k@n-'tr5l\[CVC][CCVVC]\[k@n][tr@Ul],,,,,cC,CR CCVVC,CR CCVVC,01,0,0,N;V,,,18 N; 2 V,20,
discuss,P\dI-'skVs\[CV][CCVC]\[dI][skVs],,,,,cC,CV CCVVC,CV CCVC,01,0,0,V,,,,1,
disturb,P\dI-'st3b\[CV][CCVVC]\[dI][st3:b],,,,,cC,CV CCRC,CV CCRC,01,0,0,V,,,,3,
exact,P\Ig-'z{kt\[VC][CVCC]\[Ig][z&kt]\S\Eg-'z{kt\[VC][CVCC]\[Eg][z&kt],,,,,cC,VC CVCC,VC CVCC,01,0,0,A,,,,1,
except,P\Ik-'sEpt\[VC][CVCC]\[Ik][sEpt]\S\Ek-'sEpt\[VC][CVCC]\[Ek][sEpt],,,,,cC,VC CVCC,VC CVCC,01,0,0,P,,,,16,
excess,P\'Ek-sEs\[VC][CVC]\[Ek][sEs],,,,,cC,VC CVC,VC CVC,10,0,0,A,,,,1,
expect,P\Ik-'spEkt\[VC][CCVCC]\[Ik][spEkt]\S\Ek-'spEkt\[VC][CCVCC]\[Ek][spEkt],,,,,cC,VC CCVCC,VC CCVCC,01,0,0,V,,,,5,
explore,P\Ik-'spl$R\[VC][CCCVVC]\[Ik][splO:r*]\S\Ek-'spl$R\[VC][CCCVVC]\[Ek][splO:r*],,,,,cC,VC CCCVVC,VC CCCVVM,01,0,0,V,,,,6,
express,P\Ik-'sprEs\[VC][CCCVC]\[Ik][sprEs]\S\Ek-'sprEs\[VC][CCCVC]\[Ek][sprEs],,,,,cC,VC CCCVC,VC CCCVC,01,0,0,V,,,,1,
express,P\Ik-'sprEs\[VC][CCCVC]\[Ik][sprEs]\S\Ek-'sprEs\[VC][CCCVC]\[Ek][sprEs],,,,,cC,VC CCCVC,VC CCCVC,01,0,0,A,,,,1,
herself,P\h3-'sElf\[CVV][CVCC]\[h3:][sElf]\S\h@-'sElf\[CV][CVCC]\[h@][sElf]\S\3-'sElf\[VV][CVCC]\[3:][sElf]\S\@-'sElf\[V][CVCC]\[@][sElf],h.Rs'Elf,,,,cC,CR CVMC,CR CVMC,01,0,0,,Pronoun,,,17,
himself,P\hIm-'sElf\[CVC][CVCC]\[hIm][sElf]\S\Im-'sElf\[VC][CVCC]\[Im][sElf],,,,,cC,CVC CVMC,CVC CVMC,01,0,0,,Pronoun,,,42,
ignore,P\Ig-'n$R\[VC][CVVC]\[Ig][nO:r*],,,,,cC,VC CVVC,VC CVVM,01,0,0,V,,,,14,
inform,P\In-'f$m\[VC][CVVC]\[In][fO:m],,,,,cC,VC CVVC,VC CVVMC,01,0,0,V,,,,1,
informed,P\In-'f$md\[VC][CVVCC]\[In][fO:md],,,,,cC,VC CVVCCC,VC CVVMCC,01,+/d/,VC CVVCC,V,,,,1,
insist,P\In-'sIst\[VC][CVCC]\[In][sIst],,,,,cC,VC CVCC,VC CVCC,01,0,0,V,,,,2,
instead,P\In-'stEd\[VC][CCVC]\[In][stEd],,,,,cC,VC CCVC,VC CCVC,01,0,0,,Adverb,,,24,
intense,P\In-'tEns\[VC][CVCC]\[In][tEns],,,,,cC,VC CVMC,VC CVMC,01,0,0,A,,,,2,
intent,P\In-'tEnt\[VC][CVCC]\[In][tEnt],,,,,cC,VC CVMC,VC CVMC,01,0,0,A,,,,1,
invent,P\In-'vEnt\[VC][CVCC]\[In][vEnt],,,,,cC,VC CVMC,VC CVMC,01,0,0,V,,,,1,
involved,P\In-'vQlvd\[VC][CVCCC]\[In][vOlvd],,,,cC,,VC CVMCC,VC CVMCC,01,+/d/,VC CVMC,V,,,,1,
itself,P\It-'sElf\[VC][CVCC]\[It][sElf],,,,,cC,VC CVMC,VC CVMC,01,0,0,,Pronoun,,,3,
percent,P\p@-'sEnt\[CV][CVCC]\[p@][sEnt],,,,cC,,CR CVMC,CR CVMC,01,0,0,,Adverb,,,3,
perhaps,P\p@-'h{ps\[CV][CVCC]\[p@][h&ps]\S\'pr{ps\[CCVCC]\[pr&ps],,,,,cC,CR CVCC,CR CVCC,01,0,0,,Adverb,,,3,
respect,P\rI-'spEkt\[CV][CCVCC]\[rI][spEkt]\S\r@-'spEkt\[CV][CCVCC]\[r@][spEkt],,,,,cC,CV CCVCC,CVV CCVCC,01,0,0,N,,,,1,
response,P\rI-'spQns\[CV][CCVCC]\[rI][spOns]\S\r@-'spQns\[CV][CCVCC]\[r@][spOns],,,,,cC,CV CCVMC,CVV CCVMC,01,0,0,N,,,,1,
undressed,P\'Vn-drEst\[VC][CCVCC]\[Vn][drEst],,,,cC,,VC CCVCC,VC CCVCC,01,+/t/,VC CCVC,V,,,,2,
unfair,"P\""Vn-'f8R\[VC][CVVC]\[Vn][fE@r*]\S\Vn-'f8R\[VC][CVVC]\[Vn][fE@r*]\S\'Vn-f8R\[VC][CVVC]\[Vn][fE@r*]",,,,,cC,VC CVVC,VC CVM,01,0,0,A,,,,3,
unhook,"P\""Vn-'hUk\[VC][CVC]\[Vn][hUk]\S\Vn-'hUk\[VC][CVC]\[Vn][hUk]",,,,,cC,VC CVC,VC CVC,01,0,0,V,,,,1,
