withstress	freq
pA		2
Pa		2
pA		1
Pa		1
pQ		20
xQ		1
xA		3
pA		1
pA		16
Pp		1
pA		5
pQ		6
pP		1
pP		1
pA		17
pA		42
pQ		14
pQ		1
pA		1
pA		2
pP		24
pA		2
pA		1
pA		1
pA		1
pA		3
pA		3
pA		3
xA		1
xA		1
pA		2
pQ		3
pP		1
pP		9
pP		87
pP		2
pA		140
pA		46
qA		250
Pp		18
Pa		2
Pa		6
Pp		3
Pp		78
Pp		22
Xp		7
Pp		8
Qp		3
Pp		2
Pp		109
Pp		2
Xp		348
Qp		5
Lp		9
Pa		99
Pa		2
Pp		8
Pp		4
Pp		2
Pp		2
Pp		5
Pp		3
Pp		9
Pp		4
Lp		33
Pp		1
Pp		1
Pp		15
Pp		1
Qp		292
Qp		23
Qp		7
Qp		1
Qp		6
Pp		127
Pp		3
La		1
Pa		2
Pa		2
Pa		3
Pa		1
Qp		24
Xp		28
Qp		1
Xp		1
Pp		1
Xp		1
Pa		1
Pp		13
Pa		6
Qp		10
Xa		373
Pp		30
Xa		299
Pp		2
Pp		50
Pp		2
Pp		1
Pp		1
Lp		3
Pp		1
Pp		1
Pa		1
Qp		59
Xp		6
Qp		149
Qa		20
Pp		1
Lp		1
Pp		3
Pp		10
Qp		10
Qp		34
Qa		1
Qp		2
Pp		57
Pp		1
Pp		283
Qp		7
Xa		3
Pp		21
Pp		39
Ap		1
Qa		1
Xa		7
Xa		65
Lp		4
Pp		3
Pp		16
Ap		1
Pp		21
Lp		1
Pp		12
Pp		3
Pa		2
Pp		3
Pa		4
Xp		1
Pa		6
Xa		280
Xp		1
Xp		74
Pp		9
Qp		2
Pp		1
Pp		4
Pp		12
Pp		3
Xp		3
Pp		2
Pp		5
Pp		1
Pa		1
Pp		18
Pp		3
Pp		1
Pp		14
Qp		2
Pp		4
Xp		4
Pp		1
Pp		3
Pa		1
Pp		2
Pp		2
Pp		78
Pp		1
Qp		93
Pa		8
Pp		6
Pp		3
Pp		1
Pp		2
Qp		3
Pp		106
Pa		11
Pp		2
Qp		4
Qa		3
Qp		1
Xp		1
Pp		35
Pp		14
Qp		5
Qp		1
Qp		3
Pp		14
Pp		14
Pa		10
pA		4
Pp		15
Pp		12
Pa		38
Pp		71
Xp		10
Pp		11
Pa		1
Pp		3
Ap		51
Pp		1
Pp		68
Pp		8
Qp		6
Qa		4
Pp		8
Pp		1
Pp		1
Pp		2
Pp		1
Pp		1
Pp		1
Pp		1
Ap		14
Pp		3
Pp		2
Ap		12
Pa		4
Pp		16
Pp		2
Xa		3
Pp		1
Pp		2
Pp		2
Qp		83
Pp		47
Pp		11
Qp		1
Qp		1
Pp		3
Pp		7
Pp		4
Pp		6
Pp		64
Qp		1
Pp		13
Pp		2
Pp		2
Pp		1
Pp		10
Xp		1
Pp		2
Qp		4
Pp		1
Xp		21
Pp		34
Pp		1
Pp		13
Pp		1
Pp		6
Pp		3
Pp		6
Qp		4
Pp		30
Pp		1
Pp		24
Pp		63
Pp		31
Pp		1
Pp		34
Pp		188
Pp		2
Pp		1
Pp		2
Qp		8
Qp		2
Xa		80
Pp		14
Qp		1
Xp		2
Xa		4
Xp		30
Pp		9
Pp		55
Pa		1
Pp		45
Qp		7
Qp		2
Pp		2
PP		1
PQ		1
PP		1
PA		11
QP		1
PP		37
PP		1
PA		1
PP		1
QP		2
AA		7
PP		3
PP		1
Pa		2
PQ		3
QP		1
QP		5
QP		1
AP		3
QP		1
AQ		1
PQ		28
QP		4
pP		30
pP		2
PP		1
AA		5
PP		1
QP		4
QP		2
AP		1
PA		3
PP		5
PP		1
PP		1
PA		2
PP		1
PP		3
PA		1
PP		8
PA		7
PP		4
PP		2
AP		1
AA		2
AQ		3
AQ		1
PP		39
PP		580
PP		3
PQ		37
QP		1
PA		1
Pp		4
PA		3
