withstress	freq
cC		2
Cc		2
cC		1
Cc		1
cS		20
xS		1
xC		3
cC		1
cC		16
Cc		1
cC		5
cS		6
cC		1
cC		1
cC		17
cC		42
cS		14
cS		1
cS		1
cC		2
cC		24
cC		2
cC		1
cC		1
cC		1
cC		3
cC		3
cC		3
xC		1
xC		1
cC		2
cS		3
cC		1
cC		9
cC		87
cC		2
cS		140
cS		46
sC		250
Cc		18
Cc		2
Cc		6
Cc		3
Cc		78
Cc		22
Xc		7
Cc		8
Sc		3
Cc		2
Cc		109
Cc		2
Xc		348
Sc		5
Lc		9
Cc		99
Cc		2
Cc		8
Cc		4
Cc		2
Cc		2
Cc		5
Cc		3
Cc		9
Cc		4
Lc		33
Cc		1
Cc		1
Cc		15
Cc		1
Sc		292
Sc		23
Sc		7
Sc		1
Sc		6
Cc		127
Cc		3
Lc		1
Cc		2
Cc		2
Cc		3
Cc		1
Sc		24
Xc		28
Sc		1
Xc		1
Cc		1
Xc		1
Cc		1
Cc		13
Cc		6
Sc		10
Xc		373
Cc		30
Xc		299
Cc		2
Cc		50
Cc		2
Cc		1
Cc		1
Lc		3
Cc		1
Cc		1
Cc		1
Sc		59
Xc		6
Sc		149
Sc		20
Cc		1
Lc		1
Cc		3
Cc		10
Sc		10
Sc		34
Sc		1
Sc		2
Cc		57
Cc		1
Cc		283
Sc		7
Xc		3
Cc		21
Cc		39
Sc		1
Sc		1
Xc		7
Xc		65
Lc		4
Cc		3
Cc		16
Cc		1
Cc		21
Lc		1
Cc		12
Cc		3
Cc		2
Cc		3
Cc		4
Xc		1
Cc		6
Xc		280
Xc		1
Xc		74
Cc		9
Sc		2
Cc		1
Cc		4
Cc		12
Cc		3
Xc		3
Cc		2
Cc		5
Cc		1
Cc		1
Cc		18
Cc		3
Cc		1
Cc		14
Sc		2
Cc		4
Xc		4
Cc		1
Cc		3
Cc		1
Cc		2
Cc		2
Cc		78
Cc		1
Sc		93
Cc		8
Cc		6
Cc		3
Cc		1
Cc		2
Sc		3
Cc		106
Cc		11
Cc		2
Sc		4
Sc		3
Sc		1
Xc		1
Cc		35
Cc		14
Sc		5
Sc		1
Sc		3
Cc		14
Cc		14
Cc		10
cC		4
Cc		15
Cc		12
Cc		38
Cc		71
Xc		10
Cc		11
Cc		1
Cc		3
Cc		51
Cc		1
Cc		68
Cc		8
Sc		6
Sc		4
Cc		8
Cc		1
Cc		1
Cc		2
Cc		1
Cc		1
Cc		1
Cc		1
Cc		14
Cc		3
Cc		2
Cc		12
Cc		4
Cc		16
Cc		2
Xc		3
Cc		1
Cc		2
Cc		2
Sc		83
Cc		47
Cc		11
Sc		1
Sc		1
Cc		3
Cc		7
Cc		4
Cc		6
Cc		64
Sc		1
Cc		13
Cc		2
Cc		2
Cc		1
Cc		10
Xc		1
Cc		2
Sc		4
Cc		1
Xc		21
Cc		34
Cc		1
Cc		13
Cc		1
Cc		6
Cc		3
Cc		6
Sc		4
Cc		30
Cc		1
Cc		24
Cc		63
Cc		31
Cc		1
Cc		34
Cc		188
Cc		2
Cc		1
Cc		2
Sc		8
Sc		2
Xc		80
Cc		14
Sc		1
Xc		2
Xc		4
Xc		30
Cc		9
Cc		55
Cc		1
Cc		45
Sc		7
Sc		2
Cc		2
CC		1
CS		1
CC		1
CS		11
SC		1
CC		37
CC		1
CC		1
CC		1
SC		2
SS		7
CC		3
CC		1
Cc		2
CS		3
SC		1
SC		5
SC		1
CC		3
SC		1
SS		1
CS		28
SC		4
cC		30
cC		2
CC		1
CC		5
CC		1
SC		4
SC		2
CC		1
CC		3
CC		5
CC		1
CC		1
CS		2
CC		1
CC		3
CC		1
CC		8
CS		7
CC		4
CC		2
CC		1
CC		2
SS		3
SS		1
CC		39
CC		580
CC		3
CS		37
SC		1
CS		1
Cc		4
CC		3
CC		1
CC		16
CC		2
cC		5
SS		1
CC		6
CC		4
CC		1
CC		2
CC		12
CC		15
CS		30
CC		1
CC		1
cL		7
cL		2
cL		6
cL		3
cL		1
Sl		15
Sl		16
Sl		7
Cl		1
Sl		2
Sl		6
Xl		206
Xl		1
Cl		14
Cl		72
Xl		8
Xl		10
Ll		3
Cl		32
Xl		445
Xl		4
Cl		12
Ll		1
Xl		15
Cs		11
Cl		1
Cl		13
Sl		3
Cl		2
Cl		9
Cl		1
Cl		1
Cl		23
Cl		6
Cl		2
Cl		221
Cl		17
Cl		42
Cl		32
Cl		1
Sl		1
Ll		13
Cl		8
Cl		15
Cl		2
Cl		1
Sl		22
Cl		5
Xl		44
Cl		7
Xl		2
Cl		9
Cl		22
Ll		7
Cl		2
Cl		2
Cl		2
Sl		9
Cl		1
Cl		153
Xl		26
Cl		155
Xl		13
Cl		1
Sl		30
Sl		1
Cl		5
Cl		6
Cl		1
Cl		4
Cl		49
Cl		1
Cl		29
Ss		3
Cl		2
Sl		29
Cl		1
Cl		2
Sl		2
Cl		8
Cl		3
Xl		122
Cl		4
Cl		1
Cl		4
Cl		2
Sl		2
Cl		10
Cl		3
Cl		4
Sl		16
Sl		17
Cl		4
Sl		3
Cl		1
Cl		1
Cl		10
Cl		9
Cl		78
Cl		34
Sl		1
Cl		6
Cl		25
Cl		67
Cl		4
Cl		6
Cl		10
Cl		143
Cl		9
Sl		8
Sl		1
CL		1
Cl		1
CL		107
Cl		1
SL		1
SS		1
CL		1
CL		22
SL		2
CL		7
SL		4
SL		7
Cl		42
Cl		3
SL		6
CL		5
CL		3
CL		1
CL		1
CL		1
CL		2
SL		1
sS		490
xS		89
cS		7
cS		4
cS		1
cS		3
cS		2
cS		1
cS		1
xS		2
cS		1
xS		10
xS		2
cS		139
cS		44
Cs		1
cS		1
cS		8
cS		146
cS		2
xS		5
CS		1
xS		1
cS		1
cS		1
cS		2
cS		1
Cl		8
Cs		18
Sc		2
Xs		1
Cc		1
Cs		2
Cs		1
SS		1
SS		53
SS		227
SS		89
SS		1
CS		4
CS		69
CS		30
CS		8
CS		1
SS		2
CS		2
cS		2
SS		8
CS		128
CS		4
CS		2
CS		5
sS		3
Ss		12
Ss		1
CS		34
CS		6
CS		6
SS		1
CS		2
CS		2
CS		1
CS		1
CS		1
CS		2
CS		2
CS		2
SS		1
CS		7
CS		1
CS		3
CS		5
CS		42
CS		1
CS		1
CS		25
CS		3
CS		16
cS		1
cS		1
CS		1
CS		1
CS		1
CS		2
CS		2
CS		2
CS		3
CS		2
Cx		3
Cx		7
Cx		64
Sc		1
Sc		3
Sc		42
Sc		1
Cx		7
Cc		16
Lc		27
Lc		1
Lc		9
Lc		1
Lc		14
Lc		1
Lc		1
Lc		1
Lc		2
Lc		1
Lc		27
Lc		2
Lc		24
Lc		43
Lc		2
Lc		2
Lc		1
Lc		1
Lc		2
Lc		5
Lc		18
Lc		4
Lc		3
Lc		1
Lc		10
Lc		1
Lc		2
Lc		11
Lc		3
Lc		1
Lc		10
Lc		2
Lc		2
Lc		58
Lc		1
Lc		1
Lc		16
Lc		364
Lc		2
Lc		4
Lc		2
Lc		1
Lc		25
Lc		11
Lc		14
Lc		2
Lc		5
Lc		49
Lc		167
Sc		2
Lc		2
Lc		1
Lc		4
Lc		1
Lc		3
Lc		8
Lc		2
Lc		12
Lc		7
Lc		12
Lc		46
Lc		4
Lc		1
Lc		3
Lc		1
Lc		1
Lc		7
Lc		1129
Lc		4
Lc		4
Lc		1
Lc		2
Lc		1
Lc		43
Lc		6
Lc		1
Lc		1
Lc		2
Lc		4
Lc		13
Lc		1
Lc		1
Lc		9
Lc		1
Lc		6
Lc		1
Lc		4
Lc		3
Lc		1
Lc		9
Lc		6
Lc		3
Lc		1
Lc		1
Lc		63
Lc		2
Lc		61
Lc		2
Lc		154
Lc		1
Lc		2
Lc		1
Lc		5
Lc		2
Lc		5
Lc		2
Lc		1
Lc		2
Lc		39
Lc		9
Lc		67
Lc		7
Lc		1
Lc		1
Lc		2
Lc		1
Lc		29
Lc		5
Lc		1
Lc		2
Lc		574
Lc		1
Lc		11
Lc		1038
Lc		2
Lc		86
Lc		13
Lc		2
Lc		5
Lc		1
Lc		227
Lc		60
Lc		37
Lc		1
Lc		2
Lc		1
Lc		1
Lc		2
Lc		2
Lc		1
Lc		1
Lc		9
Lc		7
Lc		1
Lc		1
Lc		49
Lc		2
Lc		2
Lc		3
Lc		29
Lc		1
Lc		2
Lc		55
Lc		22
Lc		25
Lc		11
Lc		59
Lc		1
Lc		2
Xc		1
Lc		4
Lc		3
Lc		8
Lc		1
Lc		123
