Total tokens: 99968
Total types: 4780
Token upper bound: 76531
Type upper bound: 3400
Number of syllables with multiple stress contours: 73
Total number of syllables: 256
Total number of unique syllables: 123
Upper bound compatibility by tokens: 0.765554977593
Upper bound compatibility by types: 0.71129707113
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
XxL	266	40	0.27	0.84
XLc	13	3	0.01	0.06
xXxLc	58	2	0.06	0.04
xXxc	14	7	0.01	0.15
Clc	46	12	0.05	0.25
xCxL	1	1	0.0	0.02
Lxl	184	23	0.18	0.48
XcXc	50	4	0.05	0.08
lLcxc	3	2	0.0	0.04
cLxc	5	4	0.01	0.08
Lcc	155	16	0.16	0.33
CxXl	2	1	0.0	0.02
CCc	2	2	0.0	0.04
XlXl	80	3	0.08	0.06
xCxl	3	2	0.0	0.04
ccL	2	1	0.0	0.02
ClCxLxc	1	1	0.0	0.02
xLlcl	1	1	0.0	0.02
Lll	46	4	0.05	0.08
xLl	56	11	0.06	0.23
lXlc	1	1	0.0	0.02
XcC	6	2	0.01	0.04
xLxLc	1	1	0.0	0.02
XxXxc	13	1	0.01	0.02
xLx	161	14	0.16	0.29
CcLc	16	8	0.02	0.17
LxLx	7	4	0.01	0.08
CxCcl	1	1	0.0	0.02
XxLl	34	4	0.03	0.08
Ccl	34	10	0.03	0.21
ClC	6	5	0.01	0.1
XxLc	53	22	0.05	0.46
XxxLc	1	1	0.0	0.02
cLc	215	34	0.22	0.71
LlXc	7	4	0.01	0.08
lLc	6	3	0.01	0.06
XcXxl	1	1	0.0	0.02
xCcl	4	1	0.0	0.02
lC	253	4	0.25	0.08
CC	1597	86	1.6	1.8
LxX	1	1	0.0	0.02
XcLxl	1	1	0.0	0.02
LxXc	11	4	0.01	0.08
lXlx	1	1	0.0	0.02
LLxl	1	1	0.0	0.02
Xcc	122	44	0.12	0.92
LLxc	4	1	0.0	0.02
LL	7414	188	7.42	3.93
XcL	154	27	0.15	0.56
LxXx	1	1	0.0	0.02
xLxc	6	4	0.01	0.08
Llx	13	3	0.01	0.06
Xxcl	21	1	0.02	0.02
CxXxc	1	1	0.0	0.02
cXL	3	2	0.0	0.04
CcC	65	11	0.07	0.23
XxCxl	3	1	0.0	0.02
XxC	35	9	0.04	0.19
Xll	34	3	0.03	0.06
lLcLc	3	2	0.0	0.04
xXll	18	3	0.02	0.06
Xlxc	1	1	0.0	0.02
xXcl	1	1	0.0	0.02
lXl	15	1	0.02	0.02
cL	676	52	0.68	1.09
Ll	11674	334	11.68	6.99
cXxx	5	1	0.01	0.02
XxCc	10	2	0.01	0.04
xLc	180	41	0.18	0.86
xXxL	11	4	0.01	0.08
cC	297	43	0.3	0.9
CXl	136	16	0.14	0.33
xCxc	4	3	0.0	0.06
XxCxc	1	1	0.0	0.02
CXc	75	15	0.08	0.31
ClL	10	3	0.01	0.06
cXxc	19	8	0.02	0.17
cXxLc	1	1	0.0	0.02
Xl	12661	309	12.67	6.46
CxXxl	3	1	0.0	0.02
LxC	32	12	0.03	0.25
LcLc	17	7	0.02	0.15
LlLl	35	5	0.04	0.1
Ccc	112	16	0.11	0.33
cLxL	1	1	0.0	0.02
CXx	4	3	0.0	0.06
Lc	14468	763	14.47	15.96
XX	127	4	0.13	0.08
xXxl	3	2	0.0	0.04
xLlc	5	3	0.01	0.06
Llc	552	20	0.55	0.42
xX	193	3	0.19	0.06
Llcl	3	1	0.0	0.02
xXc	770	39	0.77	0.82
LXxc	8	1	0.01	0.02
XlXc	17	3	0.02	0.06
XC	347	6	0.35	0.13
Clx	1	1	0.0	0.02
LXlc	1	1	0.0	0.02
cXxl	3	3	0.0	0.06
LLLl	1	1	0.0	0.02
LxCx	1	1	0.0	0.02
XcLc	6	5	0.01	0.1
LLl	12	7	0.01	0.15
cXcLl	1	1	0.0	0.02
LXx	4	2	0.0	0.04
Xcl	173	23	0.17	0.48
xLcl	1	1	0.0	0.02
LXxx	3	1	0.0	0.02
LlL	179	19	0.18	0.4
ClCl	16	1	0.02	0.02
CcLx	1	1	0.0	0.02
Xx	8048	22	8.05	0.46
lL	746	10	0.75	0.21
CxXc	3	3	0.0	0.06
cXx	41	2	0.04	0.04
lXxL	8	3	0.01	0.06
xLxl	5	4	0.01	0.08
LlCc	4	3	0.0	0.06
LllL	3	1	0.0	0.02
lXc	8	2	0.01	0.04
LxLl	36	4	0.04	0.08
Xlx	5	2	0.01	0.04
XxLlc	4	1	0.0	0.02
XxLx	16	8	0.02	0.17
cXl	9	1	0.01	0.02
xXx	188	5	0.19	0.1
cCxLc	1	1	0.0	0.02
Clcl	2	1	0.0	0.02
CxLlc	4	1	0.0	0.02
LC	377	68	0.38	1.42
lXxc	1	1	0.0	0.02
lLx	78	4	0.08	0.08
cLlx	1	1	0.0	0.02
cXlx	1	1	0.0	0.02
cCc	38	18	0.04	0.38
LCc	25	10	0.03	0.21
LlC	39	8	0.04	0.17
XcXl	1	1	0.0	0.02
xlC	65	1	0.07	0.02
xCL	1	1	0.0	0.02
