Total tokens: 99965
Total types: 4778
Token upper bound: 76559
Type upper bound: 3381
Number of syllables with multiple stress contours: 70
Total number of syllables: 255
Total number of unique syllables: 125
Upper bound compatibility by tokens: 0.765858050318
Upper bound compatibility by types: 0.707618250314
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
LxLl	36	4	0.04	0.08
XxL	278	48	0.28	1.0
Xlx	5	2	0.01	0.04
XLc	3	1	0.0	0.02
XxLlc	4	1	0.0	0.02
xXxLc	58	2	0.06	0.04
XxLx	17	9	0.02	0.19
cCxLc	1	1	0.0	0.02
xXx	261	8	0.26	0.17
cXl	9	1	0.01	0.02
lLxc	2	2	0.0	0.04
CxLlc	4	1	0.0	0.02
Clcl	2	1	0.0	0.02
xXxc	13	6	0.01	0.13
Clc	31	9	0.03	0.19
xCxL	4	3	0.0	0.06
Lxl	184	23	0.18	0.48
XcXc	50	4	0.05	0.08
LC	388	76	0.39	1.59
lXxc	1	1	0.0	0.02
lLcxc	2	1	0.0	0.02
cLlx	1	1	0.0	0.02
cLxc	5	4	0.01	0.08
lLx	78	4	0.08	0.08
Lcc	114	10	0.11	0.21
CxXl	2	1	0.0	0.02
CCc	2	2	0.0	0.04
XlXl	80	3	0.08	0.06
xCxl	3	2	0.0	0.04
ccL	2	1	0.0	0.02
ClCxLxc	1	1	0.0	0.02
xLlcl	1	1	0.0	0.02
Lll	46	4	0.05	0.08
XxxLlx	1	1	0.0	0.02
xLl	56	11	0.06	0.23
lXlc	1	1	0.0	0.02
XcC	7	3	0.01	0.06
xLxLc	1	1	0.0	0.02
cXlx	1	1	0.0	0.02
XxXxc	13	1	0.01	0.02
XcXl	1	1	0.0	0.02
LlC	39	8	0.04	0.17
LCc	23	8	0.02	0.17
cCc	28	10	0.03	0.21
xlC	65	1	0.07	0.02
xLx	178	16	0.18	0.33
xCL	1	1	0.0	0.02
CcLc	11	5	0.01	0.1
XlLl	2	2	0.0	0.04
LxLx	33	10	0.03	0.21
XLlc	5	1	0.01	0.02
CxCcl	1	1	0.0	0.02
LlXcXc	1	1	0.0	0.02
XxLl	34	4	0.03	0.08
C	3525	245	3.53	5.13
Xxc	430	43	0.43	0.9
Ccl	34	10	0.03	0.21
CxLLc	1	1	0.0	0.02
ClC	6	5	0.01	0.1
XxLc	37	10	0.04	0.21
XxxLc	1	1	0.0	0.02
Xxl	327	30	0.33	0.63
cLc	105	19	0.11	0.4
LlXc	7	4	0.01	0.08
CCxC	1	1	0.0	0.02
lLc	4	2	0.0	0.04
lCc	1	1	0.0	0.02
xCxC	2	1	0.0	0.02
XcXxl	1	1	0.0	0.02
Xlcl	1	1	0.0	0.02
xCcl	4	1	0.0	0.02
cCcxc	6	1	0.01	0.02
cLxl	1	1	0.0	0.02
lC	253	4	0.25	0.08
CC	1596	88	1.6	1.84
Xlc	31	12	0.03	0.25
Xc	11282	506	11.29	10.59
LxX	1	1	0.0	0.02
CxC	57	10	0.06	0.21
LXc	49	11	0.05	0.23
XcLxl	1	1	0.0	0.02
LxXc	11	4	0.01	0.08
lXlx	18	4	0.02	0.08
LLxl	1	1	0.0	0.02
xCx	45	3	0.05	0.06
Xcc	50	21	0.05	0.44
LLxc	4	1	0.0	0.02
LL	7429	195	7.43	4.08
CxLc	10	7	0.01	0.15
XcL	160	32	0.16	0.67
Cl	4135	175	4.14	3.66
Lxxl	2	1	0.0	0.02
CxCx	2	1	0.0	0.02
xXlc	3	2	0.0	0.04
xL	3713	162	3.71	3.39
lLxC	4	1	0.0	0.02
LxXx	1	1	0.0	0.02
xLxc	6	4	0.01	0.08
cLlc	5	3	0.01	0.06
Llx	14	4	0.01	0.08
lCx	1	1	0.0	0.02
Xxcl	21	1	0.02	0.02
XcCc	215	3	0.22	0.06
CxXxc	1	1	0.0	0.02
cXL	3	2	0.0	0.04
ClLXc	2	1	0.0	0.02
XlC	274	9	0.27	0.19
cLl	50	8	0.05	0.17
CX	8	3	0.01	0.06
CcC	65	11	0.07	0.23
XxCxl	3	1	0.0	0.02
LLL	53	3	0.05	0.06
0	1	1	0.0	0.02
CxCxc	1	1	0.0	0.02
XxC	22	7	0.02	0.15
Xll	34	3	0.03	0.06
llCxc	1	1	0.0	0.02
lLcLc	1	1	0.0	0.02
xXll	5	1	0.01	0.02
ClLc	6	2	0.01	0.04
CcXx	16	1	0.02	0.02
CcCc	1	1	0.0	0.02
Xlxc	1	1	0.0	0.02
xXcl	1	1	0.0	0.02
LlLc	2	1	0.0	0.02
xCl	3	3	0.0	0.06
CxCxl	1	1	0.0	0.02
LCxl	1	1	0.0	0.02
lXl	15	1	0.02	0.02
cL	781	67	0.78	1.4
Ll	11685	333	11.69	6.97
xLll	8	1	0.01	0.02
CcCx	1	1	0.0	0.02
cXxx	5	1	0.01	0.02
LxCc	2	1	0.0	0.02
XxCc	11	3	0.01	0.06
CcL	182	21	0.18	0.44
ClXcc	1	1	0.0	0.02
Lxc	171	37	0.17	0.77
xLc	97	24	0.1	0.5
CxCl	1	1	0.0	0.02
LLc	105	14	0.11	0.29
CLc	24	10	0.02	0.21
xXxL	11	4	0.01	0.08
cC	312	55	0.31	1.15
CXl	136	16	0.14	0.33
xCxc	4	3	0.0	0.06
Lcl	21	5	0.02	0.1
xlL	81	1	0.08	0.02
CXc	68	10	0.07	0.21
ClL	11	4	0.01	0.08
LxLc	3	3	0.0	0.06
XxXl	28	6	0.03	0.13
cXxc	18	7	0.02	0.15
