Total tokens: 99968
Total types: 4780
Token upper bound: 76912
Type upper bound: 3439
Number of syllables with multiple stress contours: 92
Total number of syllables: 332
Total number of unique syllables: 170
Upper bound compatibility by tokens: 0.769366197183
Upper bound compatibility by types: 0.719456066946
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
XxL	266	40	0.27	0.84
lLp	6	3	0.01	0.06
pLlx	1	1	0.0	0.02
Lp	13212	592	13.22	12.38
XxLlp	4	1	0.0	0.02
Xpp	115	38	0.12	0.79
XxxLp	1	1	0.0	0.02
Pap	2	2	0.0	0.04
pXpl	1	1	0.0	0.02
PlLXp	2	1	0.0	0.02
XpPa	1	1	0.0	0.02
XpA	4	1	0.0	0.02
Lxl	184	23	0.18	0.48
Apl	2	2	0.0	0.04
LlPp	3	2	0.0	0.04
PpLa	3	2	0.0	0.04
xXp	757	32	0.76	0.67
LpP	8	4	0.01	0.08
XlXl	80	3	0.08	0.06
XxLa	3	2	0.0	0.04
Lll	46	4	0.05	0.08
aXa	1	1	0.0	0.02
xLlp	5	3	0.01	0.06
xLl	56	11	0.06	0.23
xPxL	1	1	0.0	0.02
pXxl	3	3	0.0	0.06
xLx	161	14	0.16	0.29
AlL	1	1	0.0	0.02
pXL	3	2	0.0	0.04
LxLx	7	4	0.01	0.08
pPa	3	3	0.0	0.06
AA	35	5	0.04	0.1
pXp	53	20	0.05	0.42
XxLl	34	4	0.03	0.08
pL	675	51	0.68	1.07
XlPp	6	3	0.01	0.06
Xpx	1	1	0.0	0.02
PpPxp	1	1	0.0	0.02
Xla	5	4	0.01	0.08
Xap	1	1	0.0	0.02
xAl	1	1	0.0	0.02
xpLxl	1	1	0.0	0.02
xPL	1	1	0.0	0.02
LXp	54	15	0.05	0.31
LxX	1	1	0.0	0.02
LLlp	1	1	0.0	0.02
PxxXp	1	1	0.0	0.02
lXlx	1	1	0.0	0.02
Ap	84	5	0.08	0.1
LLxl	1	1	0.0	0.02
LL	7414	188	7.42	3.93
xXxp	11	4	0.01	0.08
PpLx	1	1	0.0	0.02
Lpa	3	1	0.0	0.02
PxPal	1	1	0.0	0.02
LxXx	1	1	0.0	0.02
pXlx	1	1	0.0	0.02
PxPxl	1	1	0.0	0.02
pXxx	5	1	0.01	0.02
PxXxl	3	1	0.0	0.02
Xxa	222	13	0.22	0.27
Px	186	16	0.19	0.33
Llx	13	3	0.01	0.06
XpXa	2	2	0.0	0.04
xLa	6	6	0.01	0.13
Pal	7	3	0.01	0.06
PlLp	6	2	0.01	0.04
Pa	415	81	0.42	1.69
PpL	175	18	0.18	0.38
XpLa	3	2	0.0	0.04
xXal	1	1	0.0	0.02
pA	132	30	0.13	0.63
PxLLa	1	1	0.0	0.02
lXXpL	2	1	0.0	0.02
PxA	2	2	0.0	0.04
