Total tokens: 99965
Total types: 4778
Token upper bound: 76922
Type upper bound: 3424
Number of syllables with multiple stress contours: 85
Total number of syllables: 317
Total number of unique syllables: 168
Upper bound compatibility by tokens: 0.769489321262
Upper bound compatibility by types: 0.716617831729
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
XxL	278	48	0.28	1.0
lLp	4	2	0.0	0.04
pLlx	1	1	0.0	0.02
Lp	7486	405	7.49	8.48
XxLlp	4	1	0.0	0.02
Xpp	47	18	0.05	0.38
XxxLp	1	1	0.0	0.02
pXpl	1	1	0.0	0.02
PlLXp	2	1	0.0	0.02
XpA	5	2	0.01	0.04
Lxl	184	23	0.18	0.48
Apl	2	2	0.0	0.04
LlPp	3	2	0.0	0.04
PpLa	2	1	0.0	0.02
xXp	718	33	0.72	0.69
LpP	8	4	0.01	0.08
XlXl	80	3	0.08	0.06
Lll	46	4	0.05	0.08
aXa	1	1	0.0	0.02
xLlp	5	3	0.01	0.06
xLl	56	11	0.06	0.23
xPxL	4	3	0.0	0.06
pXxl	3	3	0.0	0.06
xLx	178	16	0.18	0.33
AlL	1	1	0.0	0.02
pXL	3	2	0.0	0.04
LxLx	33	10	0.03	0.21
pPa	1	1	0.0	0.02
AA	33	4	0.03	0.08
pXp	59	22	0.06	0.46
XxLl	34	4	0.03	0.08
pL	780	66	0.78	1.38
XlPp	6	3	0.01	0.06
Xpx	2	2	0.0	0.04
PpPxp	1	1	0.0	0.02
xAl	1	1	0.0	0.02
xpLxl	1	1	0.0	0.02
xPL	1	1	0.0	0.02
LXp	49	11	0.05	0.23
LxX	1	1	0.0	0.02
LLlp	1	1	0.0	0.02
PxxXp	1	1	0.0	0.02
lXlx	18	4	0.02	0.08
Ap	105	6	0.11	0.13
LLxl	1	1	0.0	0.02
LL	7429	195	7.43	4.08
xXxp	11	4	0.01	0.08
PpLx	1	1	0.0	0.02
PxPal	1	1	0.0	0.02
LxXx	1	1	0.0	0.02
pXlx	1	1	0.0	0.02
PxPxl	1	1	0.0	0.02
pXxx	5	1	0.01	0.02
PxXxl	3	1	0.0	0.02
Xxa	124	8	0.12	0.17
Px	193	22	0.19	0.46
Llx	14	4	0.01	0.08
xLa	6	6	0.01	0.13
Pal	7	3	0.01	0.06
PlLp	6	2	0.01	0.04
Pa	212	30	0.21	0.63
PpL	182	21	0.18	0.44
xXal	1	1	0.0	0.02
pA	128	32	0.13	0.67
lXXpL	2	1	0.0	0.02
PxA	49	6	0.05	0.13
0	1	1	0.0	0.02
xLlpl	1	1	0.0	0.02
LlXp	7	4	0.01	0.08
PpXL	1	1	0.0	0.02
Xll	34	3	0.03	0.06
xXll	5	1	0.01	0.02
pXpp	1	1	0.0	0.02
AlP	2	1	0.0	0.02
pXxp	18	7	0.02	0.15
pXx	43	3	0.04	0.06
LxXp	11	4	0.01	0.08
Xxp	306	35	0.31	0.73
lXl	15	1	0.02	0.02
Ll	11685	333	11.69	6.97
Llpl	3	1	0.0	0.02
lXlp	1	1	0.0	0.02
LlPa	1	1	0.0	0.02
PpP	10	5	0.01	0.1
pLl	50	8	0.05	0.17
XpXxl	1	1	0.0	0.02
LxPx	1	1	0.0	0.02
xPx	45	3	0.05	0.06
xXxL	11	4	0.01	0.08
Xlxp	1	1	0.0	0.02
PAp	1	1	0.0	0.02
lPp	1	1	0.0	0.02
App	18	2	0.02	0.04
PA	38	14	0.04	0.29
Lpl	21	5	0.02	0.1
pPpxp	6	1	0.01	0.02
xLpl	1	1	0.0	0.02
lLpLp	1	1	0.0	0.02
LP	302	60	0.3	1.26
Xl	12709	325	12.71	6.8
Lxx	1	1	0.0	0.02
LlLl	35	5	0.04	0.1
Llp	527	14	0.53	0.29
PpPp	1	1	0.0	0.02
XpXp	50	4	0.05	0.08
